LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS10_Num,1,8,64,,0,1,392,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS11_Num,1,8,65,,0,1,400,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS12_Num,1,8,66,,0,1,408,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS13_Num,1,8,67,,0,1,416,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS1_Num,1,8,55,,0,1,320,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS2_Num,1,8,56,,0,1,328,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS3_Num,1,8,57,,0,1,336,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS4_Num,1,8,58,,0,1,344,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS5_Num,1,8,59,,0,1,352,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS6_Num,1,8,60,,0,1,360,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS7_Num,1,8,61,,0,1,368,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS8_Num,1,8,62,,0,1,376,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,QI_COMBINED_HEDIS_2024_PLD,,,CIS9_Num,1,8,63,,0,1,384,492946,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
