Source,Source File,Table Name,Column,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Lineage,GAP,Findings
Milliman,Actuarial Risk Scoring,2017 Data Layout File,EYEL ,,"Eye, low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,EYEVL ,,"Eye, very low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,GENEL ,,"Genital, extra low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,GIH ,,"Gastro, high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,GIL ,,"Gastro, low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,GIM ,,"Gastro, medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,HEMEH ,,"Hematological, extra high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,HEML ,,"Hematological, low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,HEMM ,,"Hematological, medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,HEMVH ,,"Hematological, very high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,HIVM ,,"HIV, medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,Homeless ,,"1 indicdates a member flagged as homeless, and 0 otherwise. ",int ,,,,,,,,Y,,,1 ,,,"1 indicdates a member flagged as homeless, and 0 otherwise","0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,INFH ,,"Infectious, high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,INFL ,,"Infectious, low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,INFM ,,"Infectious, medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,Island ,,The name of the island the receipant lives. ,Char,,,,,,,,Y,,,2,,,"01 - Oahu, 04 – Kauai, 05 – Hawaii, 07 – Maui, 08 – Molokai, 09 – Lanai  ","01, 04, 05, 07, 08, 09",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,Male ,,The sex of the reciepent.,int ,,,,,,,,Y,,,1 ,,,"1 indicates male, 0 indicates female. ","1, 0 ",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,METH ,,"Metabolic, high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,METM ,,"Metabolic, medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,METVL ,,"Metabolic, very low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX1 ,,Anti-coagulants ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX10 ,,Inflammatory /Autoimmune ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX11 ,,Malignancies ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX12 ,,Multiple Sclerosis ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX13 ,,Parkinsons / Tremor ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX14 ,,Seizure disorders ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX15 ,,Tuberculosis ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX2 ,,Cardiac ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX3 ,,Depression/Psychosis/Bipolar ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX4 ,,Diabetes ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX5 ,,ESRD / Renal ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX6 ,,Hemophilia/von Willebrands ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX7 ,,Hepatitis ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX8 ,,HIV ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,MRX9 ,,"Infections, high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,Newborn ,,Indicator for under age of 1 ,int ,,,,,,,,Y,,,1,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,Plan ,,Health Plan for the member.,int ,,,,,,,,Y,,,1,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,PRGCMP ,,"Pregnancy, complete ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
