Table Name,Column,Description,Data Type,Max Length,Ordinal Position
T1147xPage1,MissingFields,Validation errors received on form. ,varchar,2048,59
T1147xPage1,DeferralReasonID,"If the request was deferred, ID of the selected deferral reason.",int,,60
T1147xPage1,DenialReasonID,"If the requested was denied, ID of the selection denial reason. ",int,,61
T1147xPage1,HxMCPID,"No longer used, may be present on older forms. ",int,,62
T1147xPage1,CovidExtension,Indicates approved level of care was extended due to COVID-19 extensions.,bit,,63
T1147xPage1,Assessment_Assessor_FirstName,The first name of the person who completed the assessment.,varchar,64,64
T1147xPage1,Assessment_Assessor_LastName,The last name of the person who completed the assessment.,varchar,64,65
T1147xPage2,T1147xID,Primary Key – GUID of form,uniqueidentifier,,1
T1147xPage2,IsComatose,"If the member is comatose, no additional functional assessment areas are applicable, and the functional score is 30. If the member is not comatose, the functional score for this question is 0. ",bit,,2
T1147xPage2,VisionHearingSpeechRating,ID of the functional assessment score associated to Functional Assessment Item III Vision/Heating/Speech. ,int,,3
T1147xPage2,VisionHearingSpeech_IsHearing,Functional Assessment item III includes a checkbox for the assessor to indicate if hearing was assessed. ,bit,,4
T1147xPage2,VisionHearingSpeech_IsVision,Functional Assessment item III includes a checkbox for the assessor to indicate if vision was assessed. ,bit,,5
T1147xPage2,VisionHearingSpeech_IsSpeech,Functional Assessment item III includes a checkbox for the assessor to indicate if speech was assessed. ,bit,,6
T1147xPage2,CommunicationRating,ID of the functional assessment score associated to Functional Assessment Item IV Communication. ,int,,7
T1147xPage2,MemoryRating,ID of the functional assessment score associated to Functional Assessment Item V Memory. ,int,,8
T1147xPage2,IsLongTermMemoryProblem,Is Long term memory problem indicator. ,bit,,9
T1147xPage2,IsShortTermMemoryProblem,Is Short term memory problem indicator. ,bit,,10
T1147xPage2,MentalStatus_LevelA,Functional Assessment item VI includes a checkbox for the assessor to indicate mental status/behavior assessment. Level A – Oriented (mentally alert and aware of surroundings. ,bit,,11
T1147xPage2,MentalStatus_LevelB,Functional Assessment item VI includes a checkbox for the assessor to indicate if mental status/behavior was assessed. Level B – Disoriented (partially or intermittently; requires supervision). ,bit,,12
T1147xPage2,MentalStatus_LevelC,Functional Assessment item VI includes a checkbox for the assessor to indicate if mental status/behavior was assessed. Level C – Disoriented and/or disruptive. ,bit,,13
T1147xPage2,MentalStatus_LevelD,Functional Assessment item VI includes a checkbox for the assessor to indicate if mental status/behavior was assessed. Level D – Aggressive and/or abusive. ,bit,,14
T1147xPage2,MentalStatus_LevelE_Day,Functional Assessment item VI includes a radio button for the assessor to indicate if mental status/behavior was assessed. Level E – Wanders Day. ,bit,,15
T1147xPage2,MentalStatus_LevelE_Night,Functional Assessment item VI includes a checkbox for the assessor to indicate if mental status/behavior was assessed. Level E – Wanders Night. ,bit,,16
T1147xPage2,MentalStatus_LevelE_BothOrHarm,Functional Assessment item VI includes a radio button for the assessor to indicate if mental status/behavior was assessed. Level E – Wanders Both (day/night). ,bit,,17
T1147xPage2,MentalStatus_LevelE,Functional Assessment item VI includes a checkbox for the assessor to indicate if mental status/behavior was assessed. Level E – Wanders Night. ,bit,,18
T1147xPage2,FeedingMealsRating,ID of the functional assessment score associated to Functional Assessment Item VII Feeding. ,int,,19
T1147xPage2,TransferringRating,ID of the functional assessment score associated to Functional Assessment Item VIII Transferring. ,int,,20
T1147xPage2,Mobility_LevelA,Functional Assessment item IX includes a checkbox for the assessor to indicate if mobility/ambulation was assessed. Level A – Independently mobile with or without device / self-propels wheelchair. ,bit,,21
T1147xPage2,Mobility_LevelB,Functional Assessment item IX includes a checkbox for the assessor to indicate if mobility/ambulation was assessed. Level B – Ambulates with/without device / stand-by assist / unsteady /risk for falls. ,bit,,22
T1147xPage2,Mobility_LevelC,Functional Assessment item IX includes a checkbox for the assessor to indicate if mobility/ambulation was assessed. Level C – Able to walk/be mobile with minimal assistance.,bit,,23
T1147xPage2,Mobility_LevelD,Functional Assessment item IX includes a checkbox for the assessor to indicate if mobility/ambulation was assessed. Level D – Able to walk/be mobile with one-person hands-on/moderate assistance. ,bit,,24
T1147xPage2,Mobility_LevelE,"Functional Assessment item IX includes a checkbox for the assessor to indicate if mobility/ambulation was assessed. Level E –Able to walk/be mobile with more than one-person hands-on assistance. 0=not selected, 1=selected.",bit,,25
T1147xPage2,Mobility_LevelF,Functional Assessment item IX includes a checkbox for the assessor to indicate if mobility/ambulation was assessed. Level F – Unable to walk / immobile. ,bit,,26
T1147xPage2,BowelFunctionRating,ID of the functional assessment score associated to Functional Assessment Item X Bowel Function / Continence. ,int,,27
T1147xPage2,BladderFunctionRating,ID of the functional assessment score associated to Functional Assessment Item XI Bladder Function / Continence. ,int,,28
T1147xPage2,BathingRating,ID of the functional assessment score associated to Functional Assessment Item XII Bathing.,int,,29
T1147xPage2,PersonalGroomingRating,ID of the functional assessment score associated to Functional Assessment Item XIII Dressing and Personal Grooming. ,int,,30
T1147xPage2,IsMedTreatment_Indepen,Functional Assessment item XIX Medication / Treatments includes a checkbox for the assessor to indicate if member administers medication independently.  Does not impact the functional scoring.,bit,,31
T1147xPage2,IsMedTreatment_ReqSupv,Functional Assessment item XIX Medication / Treatments includes a checkbox for the assessor to indicate if member requires supervision or monitoring of medication.  Does not impact the functional scoring.,bit,,32
T1147xPage2,IsMedTreatment_ReqAdmin,Functional Assessment item XIX Medication / Treatments includes a checkbox for the assessor to indicate if member requires administration of medication.  Does not impact the functional scoring.,bit,,33
T1147xPage2,AdditionalInformation,Free form text listing any additional information. ,varchar,2048,34
T1147xPage2,PrimaryMedication,"List of medications along with frequency (if provided)
“_@_” is used as separator for Medication and Frequency, and double quin UI it’s replaced by “-” And “:::” is for new line.
Medications entered into the Secondary Medications field on the 1147 form are stored in the PrimaryMedication table.",varchar,2048,35
T1147xPage2,SecondaryMedications,Secondary medications used.,varchar,2048,36
T1147xPage2,PrimaryDiagnosis,"The Primary Diagnosis on the form.
Applicable to all forms.",varchar,2048,37
T1147xPage2,SecondaryDiagnoses,Secondary Diagnosis on the forms.,varchar,2048,38
T1147xPage2,MentalStatus_LevelE_Danger,Functional Assessment item VI Mental Status / Behavior includes a checkbox for the assessor to indicate if the member is in danger of self-inflicted harm or self-neglect. Does not impact the functional assessment scoring. ,bit,,39
T1147xPage2,HouseCleaningRating,ID of the functional assessment score associated to At Risk Functional Assessment Item XIV House Cleaning. ,int,,40
T1147xPage2,ShoppingRating,ID of the functional assessment score associated to At Risk Functional Assessment Item XV Shopping.,int,,41
T1147xPage2,LaundryRating,ID of the functional assessment score associated to At Risk Functional Assessment Item XVI Laundry.,int,,42
T1147xPage2,MealPreparationRating,ID of the functional assessment score associated to At Risk Functional Assessment Item XVII Meal Preparation. Applicable to the 1147 form when the level of care requested is At Risk.,int,,43
T1147xPage2,_TotalPoints,The total sum of all functional assessment areas including the At Risk score. ,int,,44
T1147xPage2,AdditionalMentalStatusExample,"Examples, frequency of occurrences, and interventions for aggressive and/or abusive behaviors, wandering, and/or self-inflicted harm or self-neglect behaviors.
Free text field",varchar,1000,45
T1147xPage3,T1147xID,Primary Key – GUID of form,uniqueidentifier,,1
T1147xPage3,SP_TrachVent_Times,Skilled Procedures – Tracheostomy care/suctioning in ventilator dependent person. ,int,,2
T1147xPage3,SP_TrachNonVent_Times,Skilled Procedures – Tracheostomy care/suctioning in non-ventilator dependent person.,int,,3
T1147xPage3,SP_NasoSuction_Times,Skilled Procedures – Nasopharyngeal suctions in persons with no tracheostomy. ,int,,4
T1147xPage3,SP_TPN_Times,Skilled Procedures – Tracheostomy care/suctioning in ventilator dependent person. ,int,,5
T1147xPage3,SP_TPN_HrsPerDay,Skilled Procedures – Total Parenteral Nutrition – number of hours per day. ,int,,6
T1147xPage3,SP_MaintIVLines_Times,Skilled Procedures – Maintenance of peripheral/central IV lines. ,int,,7
T1147xPage3,SP_IVTherapy_Times,Skilled Procedures – IV Therapy. ,int,,8
T1147xPage3,SP_IVTherapy_AgentAndFreq,Skilled Procedures – IV Therapy – description regarding agency and frequency.,varchar,255,9
