T-MSIS V4.0.0 - Record Layout,,,,,,,,,,,
"Changes from v4.x.x Update to v4.0.0
","New Row Number
   ","File Segment Number
   ","File Segment Name
   ","System Data Element Number
   ","Data Element Number
   ","Data Element Name Computing
   ","Pipe Separated Value Segment Data Element Order
   ","Size
   ","Fixed Length Field Start Position
   ","Fixed Length Field Stop Position
   ","Notes - Changes from v4.x.x Update to v4.0.0
 "
NONE,115,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.164,CIP164,OCCURRENCE-CODE-END-DATE-05,99,9(8),672,679,
NONE,116,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.165,CIP165,OCCURRENCE-CODE-END-DATE-06,100,9(8),680,687,
NONE,117,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.166,CIP166,OCCURRENCE-CODE-END-DATE-07,101,9(8),688,695,
NONE,118,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.167,CIP167,OCCURRENCE-CODE-END-DATE-08,102,9(8),696,703,
NONE,119,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.168,CIP168,OCCURRENCE-CODE-END-DATE-09,103,9(8),704,711,
NONE,120,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.169,CIP169,OCCURRENCE-CODE-END-DATE-10,104,9(8),712,719,
NONE,121,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.170,CIP170,BIRTH-WEIGHT-GRAMS,105,S9(6)V999,720,728,
NONE,122,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.171,CIP171,PATIENT-CONTROL-NUM,106,X(20),729,748,
NONE,123,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.172,CIP172,ELIGIBLE-LAST-NAME,107,X(30),749,778,
NONE,124,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.173,CIP173,ELIGIBLE-FIRST-NAME,108,X(30),779,808,
NONE,125,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.174,CIP174,ELIGIBLE-MIDDLE-INIT,109,X(1),809,809,
NONE,126,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.175,CIP175,DATE-OF-BIRTH,110,9(8),810,817,
NONE,127,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.176,CIP176,HEALTH-HOME-PROV-IND,111,X(1),818,818,
NONE,128,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.177,CIP177,WAIVER-TYPE,112,X(2),819,820,
NONE,129,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.178,CIP178,WAIVER-ID,113,X(20),821,840,
NONE,130,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.179,CIP179,BILLING-PROV-NUM,114,X(30),841,870,
NONE,131,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.180,CIP180,BILLING-PROV-NPI-NUM,115,X(10),871,880,
NONE,132,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.181,CIP181,BILLING-PROV-TAXONOMY,116,X(12),881,892,
NONE,133,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.182,CIP182,BILLING-PROV-TYPE,117,X(2),893,894,
NONE,134,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.183,CIP183,BILLING-PROV-SPECIALTY,118,X(2),895,896,
NONE,135,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.184,CIP184,ADMITTING-PROV-NPI-NUM,119,X(10),897,906,
NONE,136,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.185,CIP185,ADMITTING-PROV-NUM,120,X(30),907,936,
NONE,137,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.186,CIP186,ADMITTING-PROV-SPECIALTY,121,X(2),937,938,
NONE,138,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.187,CIP187,ADMITTING-PROV-TAXONOMY,122,X(12),939,950,
NONE,139,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.188,CIP188,ADMITTING-PROV-TYPE,123,X(2),951,952,
NONE,140,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.189,CIP189,REFERRING-PROV-NUM,124,X(30),953,982,
NONE,141,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.190,CIP190,REFERRING-PROV-NPI-NUM,125,X(10),983,992,
NONE,142,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.194,CIP194,DRG-OUTLIER-AMT,126,S9(11)V99,993,1005,
NONE,143,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.195,CIP195,DRG-REL-WEIGHT,127,S9(3)V99999,1006,1013,
NONE,144,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.196,CIP196,MEDICARE-HIC-NUM,128,X(12),1014,1025,
NONE,145,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.197,CIP197,OUTLIER-CODE,129,X(2),1026,1027,
NONE,146,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.198,CIP198,OUTLIER-DAYS,130,S9(5),1028,1032,
NONE,147,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.199,CIP199,PATIENT-STATUS,131,X(2),1033,1034,
NONE,148,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.202,CIP202,REMITTANCE-NUM,132,X(30),1035,1064,
NONE,149,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.203,CIP203,SPLIT-CLAIM-IND,133,X(1),1065,1065,
NONE,150,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.204,CIP204,BORDER-STATE-IND,134,X(1),1066,1066,
NONE,151,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.206,CIP206,TOT-BENEFICIARY-COINSURANCE-PAID-AMOUNT,135,S9(11)V99,1067,1079,
NONE,152,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.207,CIP207,BENEFICIARY-COINSURANCE-DATE-PAID,136,9(8),1080,1087,
NONE,153,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.208,CIP208,TOT-BENEFICIARY-COPAYMENT-PAID-AMOUNT,137,S9(11)V99,1088,1100,
NONE,154,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.209,CIP209,BENEFICIARY-COPAYMENT-DATE-PAID,138,9(8),1101,1108,
NONE,155,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.210,CIP210,TOT-BENEFICIARY-DEDUCTIBLE-PAID-AMOUNT,139,S9(11)V99,1109,1121,
NONE,156,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.211,CIP211,BENEFICIARY-DEDUCTIBLE-DATE-PAID,140,9(8),1122,1129,
