Source,Source File,Table Name,Column,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,Is PII,History,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Gap,Findings,Linage Source System,Linage State Table Mapping,Lineage State Field Mapping 
HPMMIS,Code and Reference,T_RF_GSA_CTY,ADD_DAT,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_TRIBE,ADD_DAT,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,RF536,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_CTRT_TYP,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_DIAG_CVG,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_DIAG_PWX,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_PROC_CVG,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_PROC_PA,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_PROC_PWX,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_MDCD_DRUG_PLAN,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_MED_CAT_SER_PWX,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_NDC_THR,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_STD_SVC,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_THR_CLS,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,RF318,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_TRANS_CD_TABLE,ADD_DATE,Record Added Date,The date the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_GSA_CTY,ADD_TIME,Record Added Time,The time the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_DIAG_CVG,ADD_TIME,Record Added Time,The time the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_PROC_CVG,ADD_TIME,Record Added Time,The time the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_PROC_PA,ADD_TIME,Record Added Time,The time the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_PROC_PWX,ADD_TIME,Record Added Time,The time the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_MDCD_DRUG_PLAN,ADD_TIME,Record Added Time,The time the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_MED_CAT_SER_PWX,ADD_TIME,Record Added Time,The time the record was added to the database,date,,,,,,,,,,,,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_NDC_THR,ADD_TIME,Record Added Time,The time the record was added to the database,char,,,,,,,,,,,6,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_NURSING_HOME,ADD_TIME,Record Added Time,The time the record was added to the database,char,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_STD_SVC,ADD_TIME,Record Added Time,The time the record was added to the database,char,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_THR_CLS,ADD_TIME,Record Added Time,The time the record was added to the database,nvarchar,,,,,,,,,,,8,,,,RF318,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_TRIBE,ADD_TIME,Record Added Time,The time the record was added to the database,nvarchar,,,,,,,,,,,16,,,,RF536,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_DIAG_CVG,ADD_USER,Record Add User,The user who added the record in the database,char,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_PROC_CVG,ADD_USER,Record Add User,The user who added the record in the database,nvarchar,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_PROC_PA,ADD_USER,Record Add User,The user who added the record in the database,char,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_PROC_PWX,ADD_USER,Record Add User,The user who added the record in the database,char,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_MED_CAT_SER_PWX,ADD_USER,Record Add User,The user who added the record in the database,char,,,,,,,,,,,6,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_NDC_THR,ADD_USER,Record Add User,The user who added the record in the database,char,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_NURSING_HOME,ADD_USER,Record Add User,The user who added the record in the database,char,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_STD_SVC,ADD_USER,Record Add User,The user who added the record in the database,nvarchar,,,,,,,,,,,16,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_THR_CLS,ADD_USER,Record Add User,The user who added the record in the database,nvarchar,,,,,,,,,,,16,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_GSA_CTY,ADD_USR,Record Add User,The user who added the record in the database,char,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_TRIBE,ADD_USR,Record Add User,The user who added the record in the database,char,,,,,,,,,,,8,,,,RF536,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_ADDR_TYPE,ADDR_DESC,Address Type Description,A description of the code that indicates the type of address.,char,,,,,,,,,,,8,,,,RF527,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_PROV_ADDR_TYPE,ADDR_DESC,Provider Address Type Description,A description of the code indicating a provider's type of address.,char,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_ADDR_TYPE,ADDR_TYP,Address Type,A code that indicates the type of address.,char,,,,,,,,,,,8,,,,RF527,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_PROV_ADDR_TYPE,ADDR_TYP,Provider Address Type,A code indicating a provider's type of address.,char,,,,,,,,,,,8,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_ADMISSION_SOURCE,ADM_SRC_CD,Admission Source Code,Code indicating the source of patient admission.,char,,,,,,,,,,,8,,,,RF703,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_ADMISSION_SOURCE,ADM_SRC_CD_DESC,Admission Source Code Description,A description of the code indicating the source of patient admission.,char,,,,,,,,,,,8,,,,RF703,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_ADMISSION_TYPE,ADM_TYP,Admission Type,A code indicating the type of patient admission.,char,,,,,,,,,,,8,,,,RF704,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_ADMISSION_TYPE,ADM_TYP_DESC,Admission Type Description,A description of the code indicating the type of patient admission.,char,,,,,,,,,,,3,,,,RF704,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_PHARM_RISK_MATRIX,AGE_FROM,Age From ,Age which from Eligibility was assigned,char,,,,,,,,,,,3,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_AGE_LIMIT,AGE_LIMIT_CD,Age Limit Code,Age limit that is assigned to an Eligibility Code,nvarchar,,,,,,,,,,,3,,,,RF533,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_PHARM_RISK_MATRIX,AGE_THRU,AGe Thru,Age thur assigne Eligibility,nvarchar,,,,,,,,,,,6,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_AGENCY_ID,AGY_ID,Agency Identification,A code indicating the agency name.,char,,,,,,,,,,,3,,,,RF601,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_AGENCY_ID,AGY_ID_DESC,Agency Identification Description,A description of the agency identification as in Agency Name.,nvarchar,,,,,,,,,,,3,,,,RF601,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_ICD10_PROC_CVG,AHCCCS_CVG,AHCCCS Coverage,A code that indicates whether or not service reported under this code is covered by AHCCCS.,char,,,,,,,,,,,3,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_PR_TYP_PROC_CVG,AHCCCS_CVG,AHCCCS Coverage,A code that indicates whether or not service reported under this code is covered by AHCCCS.,char,,,,,,,,,,,3,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_AHCCCS_CVG,AHCCCS_CVG_CD,AHCCCS Coverage Code,A code that indicates whether or not service reported under this code is covered by AHCCCS.,char,,,,,,,,,,,3,,,,RF102,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_CDE_AHCCCS_CVG,AHCCCS_CVG_CD_DESC,AHCCCS Coverage Code Description,A description of the code that indicates whether or not service reported under this code is covered by AHCCCS.,char,,,,,,,,,,,3,,,,RF102,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
HPMMIS,Code and Reference,T_RF_PR_TYP_PROC_CVG,AHCCCS_CVG_DESC,AHCCCS Coverage Description,A description of AHCCCS coverage,nvarchar,,,,,,,,,,,6,,,,,,,"AHCCCS Code and Reference Data Dictionary - Shell (2).xlsx , HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com) ",,,
