CONCAT_NAME,TABLE_NAME,COLUMN_NAME,DESCRIPTION,ICD_DESC,DATA_TYPE,ICD_TYPE,LENGTH,,ICD_LEN,MIN_LEN,MAX_LEN,ONE_LENGTH
UH_ARIEL_ENROLL_SUBBENEFIT_ID,UH_ARIEL_ENROLL_SUB,BENEFIT_ID,Unique identifier for the specific benefit associated with the plan,Unique identifier for the specific benefit associated with the plan,VARCHAR, ,15,GET MAX,,3,10,NO
UH_ARIEL_ENROLL_SUBBILLING_TIER,UH_ARIEL_ENROLL_SUB,BILLING_TIER,Tier level used for billing purposes,Tier level used for billing purposes,VARCHAR, ,10,GET MAX,,4,8,NO
UH_ARIEL_ENROLL_SUBCHANGE_BENEFIT_EVENT_DATE,UH_ARIEL_ENROLL_SUB,CHANGE_BENEFIT_EVENT_DATE,Date of the change in benefit event,Date of the change in benefit event,DATETIME, ,,GET MAX,,23,23,YES
UH_ARIEL_ENROLL_SUBCHANGE_BENEFIT_EVENT_ID,UH_ARIEL_ENROLL_SUB,CHANGE_BENEFIT_EVENT_ID,Unique identifier for the change in benefit event,Unique identifier for the change in benefit event,VARCHAR, ,15,GET MAX,,4,10,NO
UH_ARIEL_ENROLL_SUBDEPENDENT_SEQ_NO,UH_ARIEL_ENROLL_SUB,DEPENDENT_SEQ_NO,Sequence number for a dependent,#N/A,INT,#N/A,1,GET MAX,,1,1,YES
UH_ARIEL_ENROLL_SUBEMPLOYEE_SSN,UH_ARIEL_ENROLL_SUB,EMPLOYEE_SSN,Social Security Number of the employee,Social Security Number of the employee,VARCHAR, ,9,ICD, ,9,11,NO
UH_ARIEL_ENROLL_SUBEND_DATE,UH_ARIEL_ENROLL_SUB,END_DATE,End date of enrollment,End date of enrollment,DATETIME,varchar,,GET MAX,10,23,23,YES
UH_ARIEL_ENROLL_SUBFUND,UH_ARIEL_ENROLL_SUB,FUND,Fund associated with subscriber enrollment,Fund associated with subscriber enrollment,VARCHAR,varchar,50,GET MAX,15,3,33,NO
UH_ARIEL_ENROLL_SUBHB_NUMBER,UH_ARIEL_ENROLL_SUB,HB_NUMBER,Unique ID for the subscriber enrollment,Unique ID for the subscriber enrollment,VARCHAR,varchar,15,ICD,15,7,8,NO
UH_ARIEL_ENROLL_SUBPLAN,UH_ARIEL_ENROLL_SUB,PLAN,Specific plan for subscriber enrollment,Specific plan for subscriber enrollment,VARCHAR,varchar,15,ICD,15,3,6,NO
UH_ARIEL_ENROLL_SUBSPLIT_TIER,UH_ARIEL_ENROLL_SUB,SPLIT_TIER,Indicator of whether the coverage is divided between multiple tiers or plans,Indicator of whether the coverage is divided between multiple tiers or plans,VARCHAR, ,15,GET MAX,,4,9,NO
UH_ARIEL_ENROLL_SUBSTART_DATE,UH_ARIEL_ENROLL_SUB,START_DATE,Start date of enrollment,Start date of enrollment,DATETIME,varchar,,GET MAX,10,23,23,YES
UH_ARIEL_INDICATORATTRIBUTE_DESCRIPTION,UH_ARIEL_INDICATOR,ATTRIBUTE_DESCRIPTION,Description of the specific attribute related to the subscriber or dependent,Description of the specific attribute related to the subscriber or dependent,VARCHAR,0,50,GET MAX,0,12,27,NO
UH_ARIEL_INDICATORDATA_VALUE,UH_ARIEL_INDICATOR,DATA_VALUE,Value corresponding to the attribute for the subscriber or dependent,Value corresponding to the attribute for the subscriber or dependent,VARCHAR, ,20,GET MAX,,1,14,NO
UH_ARIEL_INDICATORDEPENDENT_SEQ_NO,UH_ARIEL_INDICATOR,DEPENDENT_SEQ_NO,Sequence number for each dependent associated with the subscriber,Sequence number for each dependent associated with the subscriber,INT, ,,GET MAX,,1,2,NO
UH_ARIEL_INDICATORDEPENDENT_SSN,UH_ARIEL_INDICATOR,DEPENDENT_SSN,Social Security Number of the dependent ,#N/A,VARCHAR,#N/A,9,GET MAX,,9,9,YES
UH_ARIEL_INDICATOREFF_DATE,UH_ARIEL_INDICATOR,EFF_DATE,Effective date when the attribute or benefit changes take effect,Effective date when the attribute or benefit changes take effect,DATETIME, ,,GET MAX,,23,23,YES
UH_ARIEL_INDICATOREMPLOYEE_SSN,UH_ARIEL_INDICATOR,EMPLOYEE_SSN,Social Security Number of the employee ,#N/A,VARCHAR,#N/A,9,GET MAX,,9,9,YES
UH_ARIEL_INDICATORENTRY_DATE,UH_ARIEL_INDICATOR,ENTRY_DATE,,#N/A,DATETIME,#N/A,,GET MAX,,23,23,YES
UH_ARIEL_INDICATORHB_NUMBER,UH_ARIEL_INDICATOR,HB_NUMBER,Unique ID for the subscriber enrollment,Unique ID for the subscriber enrollment,VARCHAR,varchar,15,ICD,15,7,8,NO
UH_ARIEL_LOOKUPCODE,UH_ARIEL_LOOKUP,CODE,Code,#N/A,VARCHAR,#N/A,15,GET MAX,,1,10,NO
UH_ARIEL_LOOKUPCODE_DESC,UH_ARIEL_LOOKUP,CODE_DESC,Code description,#N/A,VARCHAR,#N/A,100,GET MAX,,3,73,NO
UH_ARIEL_LOOKUPCOLUMN_NAME,UH_ARIEL_LOOKUP,COLUMN_NAME,Name of the ARIEL column in which the code is applicable,#N/A,VARCHAR,#N/A,50,GET MAX,,4,31,NO
UH_ARIEL_LOOKUPTABLE_NAME,UH_ARIEL_LOOKUP,TABLE_NAME,Name of the ARIEL table in which the code is applicable,#N/A,VARCHAR,#N/A,30,GET MAX,,16,23,NO
UH_ARIEL_RACE_ETHNICITYATTRIBUTE_DESCRIPTION,UH_ARIEL_RACE_ETHNICITY,ATTRIBUTE_DESCRIPTION,Description of the specific attribute related to the subscriber or dependent,Description of the specific attribute related to the subscriber or dependent,VARCHAR,0,15,GET MAX,0,4,9,NO
UH_ARIEL_RACE_ETHNICITYDATA_VALUE,UH_ARIEL_RACE_ETHNICITY,DATA_VALUE,Value corresponding to the attribute for the subscriber or dependent,Value corresponding to the attribute for the subscriber or dependent,VARCHAR, ,10,GET MAX,,2,7,NO
UH_ARIEL_RACE_ETHNICITYDATE_UPDATED,UH_ARIEL_RACE_ETHNICITY,DATE_UPDATED,Effective date when the attribute or benefit changes take effect,Effective date when the attribute or benefit changes take effect,DATETIME, ,,GET MAX,,23,23,YES
UH_ARIEL_RACE_ETHNICITYDEP_SEQ_NO,UH_ARIEL_RACE_ETHNICITY,DEP_SEQ_NO,Sequence number for each dependent associated with the subscriber,#N/A,INT,#N/A,1,GET MAX,,1,1,YES
UH_ARIEL_RACE_ETHNICITYDEPENDENT_SSN,UH_ARIEL_RACE_ETHNICITY,DEPENDENT_SSN,Social Security Number of the dependent ,#N/A,VARCHAR,#N/A,9,GET MAX,,9,9,YES
