TABLE_NAME,COLUMN_NAME,NEW_DATA_TYPE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,BUSINESS NAME,DESCRIPTION
PV,PV011,int,int,,Provider Suffix,"Provider Name Suffix.  Report the individuals name-suffix when applicable here.  Used to capture the generation of the individual clinician (e.g., Jr. Sr., III).  Do not report degree acronyms here.  Do not report any value here for facility or non-individual provider records.  Report non-person entities in PV012 Facility Name.  "
PV,PV012,varchar(100),varchar,100,Entity Name,Group / Facility Name.  Report the Provider's Entity Name when PV034 does not equal 1.  This should only be populated for facilities or groups. Limited punctuation may be included.
PV,PV013,int,int,,Entity Code,Provider Entity Code.  Report the value that defines the entity provider type.  
PV,PV014,char(1),char,1,Provider Gender,"Provider's Gender.  Report Provider's gender as found on certification, contract, and/or license in alpha format."
PV,PV015,int,int,,Provider Date of Birth,"Provider's Date of Birth.  Report the Provider's date of birth in CCYYMMDD Format.  This only applies to providers identified as Person.  Do not report any value here for non-person entities, e.g. Professional Groups, Medical Sites."
PV,PV016,varchar(80),varchar,80,Provider Street Address,"Provider's Street Address.  Report the physical street address where provider sees plan Members.  If only mailing address is available, please send the mailing address in this element in addition to putting it in the mailing address element.  If the provider sees Members at two or more locations, the provider should have a unique record for each to capture each site where the provider practices.  "
PV,PV017,varchar(60),varchar,60,Provider Street Address 2,"Provider's Street Address 2.  Report the physical street address where provider sees plan members.  If only mailing address is available, please send the mailing address in this element in addition to putting it in the mailing address element.  If the provider sees Members at two or more locations, the provider should have a unique record for each to capture each site where the provider practices.  "
PV,PV018,varchar(30),varchar,30,Provider City Name,"Provider's City Name.  Report the city name where provider sees Members.  If only mailing address is available, please send the mailing address in this element in addition to putting it in the mailing address element.  If the provider sees Members at two or more locations, the provider should have a unique record for each to capture each site where the provider practices. "
PV,PV019,char(15),char,15,Provider State ,"Provider's State / Province.  Report the State of the site in which the provider sees plan Members.  When only a mailing address is available, populate with Mailing State here as well as PV026.  If the provider sees Members at two or more locations, the provider should have a unique record for each location to capture each site where the provider practices.  See External Code Source."
PV,PV020,char(3),char,3,Provider Country Code,"Provider's Country Code.  Report the three-character country code as defined by ISO 3166-1, Alpha 3.  See External Code Source."
PV,PV021,varchar(9),varchar,9,Provider Zip Code,Provider's Zip Code.  Report the 5- or 9-digit Zip Code of the Provider as defined by the United States Postal Service.  When submitting the 9-digit Zip Code do not include hyphen.  See External Code Source.
PV,PV022,char(10),char,10,Provider Taxonomy,"Provider's Taxonomy Code.  Report the WPC taxonomy code that defines this provider.  Taxonomy values allow for the reporting of clinicians, assistants, and technicians, where applicable, as well as physicians, nurses, medical groups, facilities, etc.  See External Code Source."
PV,PV023,varchar(75),varchar,75,Provider Mailing Address,Provider's Mailing Street Address.  Report the mailing street address of the Provider / Entity in PV002.
PV,PV024,varchar(60),varchar,60,Provider Mailing Address 2,Provider's Mailing Street Address 2.  Report the mailing street address of the Provider / Entity in PV002.
PV,PV025,varchar(30),varchar,30,Provider Mailing City Name,Provider's Mailing City Name.  Report the city of the mailing address of the Provider / Entity in PV002.
PV,PV026,char(15),char,15,Provider Mailing State,Provider's Mailing State.  Report the state of the mailing address of the Provider / Entity in PV002.  See External Code Source.
PV,PV027,char(3),char,3,Provider Mailing Country Code,"Provider's Mailing Country Code.  Report the mailing three-character country code of as defined by ISO 3166-1, Alpha 3 of the Provider / Entity in PV002.  See External Code Source."
PV,PV028,varchar(9),varchar,9,Provider Mailing Zip Code,Provider's Mailing Zip Code.  Report the 5- or 9-digit mailing Zip Code of the Provider as defined by the United States Postal Service.  When submitting the 9-digit Zip Code do not include hyphen.  See External Code Source.
PV,PV029,varchar(10),varchar,10,Provider Type Code,"Provider Type Code.  Report the Provider Type code associated with the individual provider or facility.  The Reporter must provide the SHPDA with Reference tables. This element distinguishes clinicians, facilities, and other.  Clinicians are physicians and other practitioners who can perform an E&M service (thereby start an episode of care).  Facilities can sometimes start episodes (i.e. patient goes to ER at onset of symptoms).  Providers classified as 'other' never start episodes. The SHPDA may use this element to perform further clinical and analytic grouping.  Entities not seeing patients should have a classification of 'Other'."
PV,PV030,char(15),char,15,Primary Specialty Code,Specialty Code.  Report the standard CMS Primary Specialty code of the Provider.  See External Code Source.
PV,PV031,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV032,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV033,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV034,int,int,,Provider ID Code,Provider Identification Code.  Report the value that defines type of entity associated with PV002.  The value reported here drives intake edits for quality purposes.  
PV,PV035,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV036,varchar(30),varchar,30,Medicare ID,"Provider's Medicare Number, other than UPIN.  Report the Medicare ID (OSCAR, Certification, Other, Unspecified, NSC or PIN) of the provider or entity in PV002.  Do not report UPIN here, see PV004."
PV,PV037,int,int,,Begin Date,Provider Start Date.  Report the date the provider or facility becomes eligible / contracted to perform services for plan Members in CCYYMMDD Format.
PV,PV038,int,int,,End Date,Provider End Date.  Report the date the provider or facility is no longer eligible to perform services for plan Members in CCYYMMDD Format.  Do not report any value here for providers that are still actively eligible to provide services.
PV,PV039,int,int,,National Provider ID,National Provider Identifier (NPI) of the Provider.  Report the NPI of the Provider / Clinician / Facility / Organization defined in this record.
PV,PV040,int,int,,National Provider ID - 2,National Provider Identifier (NPI) of the Provider.  Report the Secondary or Other NPI of the Provider / Clinician / Facility / Organization defined in this record.
PV,PV041,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV042,varchar(10),varchar,10,Proprietary Specialty Code,Specialty Code.  Report the Reporter's proprietary specialty code for the provider here.  Known additional specialty code for a provider should be populated in elements PV043 and PV044.  Value comes from a Reporter Defined Table only.
PV,PV043,varchar(10),varchar,10,Other Specialty Code - 2,Other Specialty Code - 2.  See mapping notes for primary specialty code in PV030.  Known additional specialty code for a provider should be populated in this element.  Value can come from either a Reporter Table or the External Code Source.
PV,PV044,varchar(10),varchar,10,Other Specialty Code - 3,Specialty Code.  See mapping notes for primary specialty code in PV030.  Known additional specialty code for a provider should be populated in this element.  Value can come from either a Reporter Defined Table or the External Code Source.
PV,PV045,int,int,,Pay for Performance Flag,Provider Contract Payment Indicator.  Report the value that defines the element.  Pay-for-performance bonuses or year-end withhold returns based on performance for at least one service performed by this provider within the month.       
PV,PV046,int,int,,Non-Claims Flag,Provider Contract Payment Indicator.  Report the value that defines if the provider is eligible to receive other payments not flowing through the claims system.  Non-Claims payments that occur at least once within the month must be reported.   
PV,PV047,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV048,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV049,int,int,,New Patients Flag,New Patients Accepted Indicator.  Report the value that defines if the provider is accepting new patients as of the date the file was created for this submission.
PV,PV050,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV051,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV052,int,int,,Multiple Office Provider Flag,Multiple Office Provider Indicator.  Report the value that defines if the provider has multiple offices.
PV,PV053,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV054,varchar(15),varchar,15,PCMH ID,Patient Centered Medical Home (PCMH) Identification Number.  Report the identifier of the patient-centered medical home the provider is linked-to here.  The value in this element must have a corresponding Provider ID (PV002) in this or a previously submitted provider file.
PV,PV055,int,int,,PCP Flag,Indicator - Provider is a PCP.  Report the value that defines the element.  
PV,PV056,varchar(30),varchar,30,Provider Affiliation,"Provider Affiliation Code.  Report the Provider ID for any affiliation the provider has with another entity or parent company.  If the provider is associated only with self, record the same value here as PV002."
PV,PV057,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV058,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV059,varchar(50),varchar,50,Filler,Filler.  SHPDA reserves this field for future use.  Do not populate with any data.
PV,PV060,int,int,,Office Type,Office Type Code.  Report the value that defines the provider's service setting.  
PV,PV061,int,int,,Prescribing Provider Flag,Indicator - Prescribing Authority.  Report if the provider has prescribing privileges.
PV,PV062,int,int,,Provider Affiliation Start Date,Provider Start Date.  Report the start date of provider's relationship with parent entity / group in PV056 (Provider Affiliation) in CCYYMMDD Format.  Providers that are self-affiliated (or no affiliation) should have the same value reported here as in PV037.
PV,PV063,int,int,,Provider Affiliation End Date,"Provider End Date.  Report the end date of provider's relationship with parent entity / group in PV056 (Provider Affiliation) in CCYYMMDD Format.  Do not report any value here if the affiliation is still active, or if there is no known affiliation in PV056.  Self-affiliations should report the same value here as in PV038."
PV,PV064,int,int,,PPO Indicator,Indicator - Provider PPO Contract.  Report the value that defines the element.  
PV,PV899,char(2),char,2,Record Type,File Type Identifier.  Report PV here.  This validates the type of file and the data contained within the file.  This must match HD004. 
PV,PV999,bigint,bigint,,File ID,HHDC assigned ID of the file submitted by the payer.
