TABLE_NAME,COLUMN_NAME,NEW_DATA_TYPE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,BUSINESS NAME,DESCRIPTION
MC,MC239N,int,int,,Occurrence Span Start Date - 10,Occurrence Span Code Start Date - 10. Report the start date that corresponds to the tenth Occurrence Span Code in CCYYMMDD format.
MC,MC239O,int,int,,Occurrence Span End Date - 10,Occurrence Span Code End Date - 10. Report the end date that corresponds to the tenth Occurrence Span Code in CCYYMMDD format.
MC,MC239P,char(2),char,2,Occurrence Span Code - 11,Occurrence Span Code - 11. Report the eleventh Occurrence Span Code that defines an occurrence span category of the claim. If not applicable do not report any value here. 
MC,MC239Q,int,int,,Occurrence Span Start Date - 11,Occurrence Span Code Start Date - 11. Report the start date that corresponds to the eleventh Occurrence Span Code in CCYYMMDD format.
MC,MC239R,int,int,,Occurrence Span End Date - 11,Occurrence Span Code End Date - 11. Report the end date that corresponds to the eleventh Occurrence Span Code in CCYYMMDD format.
MC,MC239S,char(2),char,2,Occurrence Span Code - 12,Occurrence Span Code - 12. Report the twelfth Occurrence Span Code that defines an occurrence span category of the claim. If not applicable do not report any value here. 
MC,MC239T,int,int,,Occurrence Span Start Date - 12,Occurrence Span Code Start Date - 12. Report the start date that corresponds to the twelfth Occurrence Span Code in CCYYMMDD format.
MC,MC239U,int,int,,Occurrence Span End Date - 12,Occurrence Span Code End Date - 12. Report the end date that corresponds to the twelfth Occurrence Span Code in CCYYMMDD format.
MC,MC240,char(9),char,9,EUTF HB Number,EUTF HB Member Number. Report the EUTF HB Member Identification number as provided to Reporters. All numbers should start with HB and end with 7-digits. If not applicable do not report any value here.
MC,MC241,int,int,,APCD ID Code,Member Enrollment Type. Report the value that describes the member's / subscriber's enrollment into one of the predefined categories; aligns enrollment to appropriate editing and thresholds.
MC,MC242,int,int,,Rendering Provider NPI,Rendering Provider's National Provider Identifier. Report the National Provider Identifier (NPI) of the Rendering Provider. 
MC,MC243,varchar(50),varchar,50,Filler,SHPDA reserves this field for future use. Do not populate this field with any data.
MC,MC244,int,int,,Claim Line Paid Flag,Claim Line Paid Indicator. Report the value that defines the element.
MC,MC245,int,int,,Type of Facility Flag,Type of Facility Indicator. Report the value that defines the type of facility setting for this claim.
MC,MC246,varchar(20),varchar,20,Medicaid ID,Medicaid-Assigned Member ID. Report the unique ID that Medicaid uses to uniquely identify a Member. This ID must be on all lines of eligibility for Med-QUEST and Medicaid MCOs. This element is required for Med-QUEST carriers only. Non-Med-QUEST carriers should not report any value here.
MC,MC899,char(2),char,2,Record Type,File Type Identifier. Report MC here. This validates the type of file and the data contained within the file. This must match HD004.
MC,MC999,bigint,bigint,,File ID,HHDC assigned ID of the file submitted by the payer.
ME,ME000,varchar(64),varchar,64,HHDC Beneficiary ID,Beneficiary ID defined and maintained by HHDC
ME,ME000A,varchar(64),varchar,64,HHDC Beneficiary Hash ID,Hash of all of the data elements used for member matching
ME,ME001,char(6),char,6,Submitter,Submitter ID. Report the SHPDA defined and maintained unique identifier. This must match the Submitter ID reported in HD002.
ME,ME002,varchar(10),int,,Health Plan ID,"CMS Health Plan ID (HPID). Do not report any value here until HPID is fully implemented. This is a unique identifier as outlined by the Centers for Medicare and Medicaid Services (CMS) for Plans or Sub plans. When implemented, this must match the CMS Health Plan ID reported in HD003."
ME,ME003,char(2),char,2,Insurance Type Code / Product,"Insurance Type / Product Identification Code. Report the code that defines the type of insurance under which this Member's is enrolled.
EXAMPLE: HM = Health Maintenance Organization.
"
ME,ME004,varchar(4),int,,Year,"Eligibility Year. Report the year for which eligibility is reported in this submission in CCYY format. If reporting previous year's data, the year reported here will not match current year. Do not report a future year here."
ME,ME005,varchar(2),int,,Quarter,"Reporting Quarter of Eligibility. Report the quarter for which eligibility is reported in this submission. Note: ME005 is not required for initial historical submissions for years 2009-2017.
EXAMPLE: 01 = First Quarter"
ME,ME006,varchar(30),varchar,30,Insured Group or Policy Number,Insured Group / Policy Number. Report the insured group or policy number. Do not report the number that uniquely identifies the Subscriber or Member.
ME,ME007,char(3),char,3,Coverage Level Code,Benefit Coverage Level Code. Report the Benefit Coverage Level Code that defines the dependent coverage. EXAMPLE: FAM = Family
ME,ME008,varchar(9),int,,Subscriber SSN,Subscriber's Social Security Number. Report the Subscriber's 9-digit SSN here. Do not use hyphen.
ME,ME009,varchar(30),varchar,30,Plan Specific Contract Number,Plan Specific Contract Number. Report the Reporter-assigned contract number for the Subscriber. Do not include values in this element that will distinguish one Member of the family from another. This should be the contract number for the Subscriber and all of the dependents.
ME,ME010,varchar(20),varchar,20,Member Suffix or Sequence Number,Member's Sequence Number. Report the unique number of the Member within the contract.
ME,ME011,varchar(9),int,,Member SSN,Member's Social Security Number. Report the Member's 9-digit SSN. Do not use hyphen.
ME,ME012,char(2),char,2,Individual Relationship Code,"Individual Relationship Code. Report the value that defines the Member's relationship to the Subscriber.
EXAMPLE: 18 = Self."
ME,ME013,char(1),char,1,Member Gender,"Member's Gender. Report the Member's gender as found on the claim in alpha format.
EXAMPLE: F = Female."
ME,ME014,int,int,,Member Date of Birth,Member's Date of Birth. Report the date of birth of the Member in CCYYMMDD format.
ME,ME015,varchar(30),varchar,30,Member City Name,Member's City Name. Report the city name of the Member's residence.
ME,ME016,char(2),char,2,Member State,Member's State / Province. Report the State of the Member's residence using the two-character abbreviation as defined by the United States Postal Service. 
ME,ME017,varchar(9),varchar,9,Member Zip Code,Member's Zip Code. Report the 5- or 9-digit Zip Code of the Member's residence as defined by the United States Postal Service. When submitting the 9-digit Zip Code do not include hyphen. 
ME,ME018,int,int,,Medical Coverage,"Medical Coverage Indicator. Report the value that defines if the Member has medical coverage.
EXAMPLE: 1 = Yes, there is Medical Coverage.
"
ME,ME019,int,int,,Prescription Drug Coverage,"Prescription Drug Coverage Indicator. Report the value that defines if the Member has prescription drug coverage.
EXAMPLE: 1 = Yes, there is Prescription Coverage.
"
ME,ME020,int,int,,Dental Coverage,"Dental Coverage Indicator. Report the value that defines if the Member has dental coverage. EXAMPLE: 1 = Yes, there is Dental Coverage."
ME,ME021,varchar(6),varchar,6,Race 1,Member’s Primary Race. Report the Member-identified primary race here. Do not report any value here if data has not been collected. Report only collected data. 
ME,ME022,varchar(6),varchar,6,Race 2,Member's Secondary Race. Report the Member-identified secondary race here. Do not report any value here if data has not been collected. Report only collected data. See External Code Source
ME,ME023,varchar(15),varchar,15,Other Race,Member's Other Race. Report the Member's self-disclosed race when ME021 or ME022 is entered as 2131-1 Other Race. Do not report any value here if data has not been collected. Report only collected data.
ME,ME024,int,int,,Hispanic Indicator,"Hispanic Status Indicator. Report the value that defines if the Member has indicated Hispanic Status. The code value “3” for unknown, should be used ONLY when member answers unknown, or refuses to answer. Do not report any value here if the data has not been collected. Report only collected data.
EXAMPLE: 1 = Yes, Member has indicated Hispanic status."
ME,ME025,varchar(6),varchar,6,Ethnicity 1,Member’s Primary Ethnicity. Report the Member-identified primary ethnicity here. Do not report any value here if data has not been collected. Report only collected data. Report OTHER if Ethnicity not represented by any of the values in the External Code Source. 
ME,ME026,varchar(6),varchar,6,Ethnicity 2,Member's Secondary Ethnicity Report the Member-identified secondary ethnicity here. Do not report any value here if data has not been collected. Report only collected data. Report OTHER if Ethnicity not represented by any of the values in the External Code Source. 
ME,ME027,varchar(20),varchar,20,Other Ethnicity,Member's Other Ethnicity. Report the member's self-disclosed ethnicity when ME025 or ME026 is entered as OTHER. Do not report any value here if data has not been collected. Report only collected data.
ME,ME028,int,int,,Primary Insurance Indicator,"Primary Insurance Coverage Indicator. Report the value that defines if this coverage is primary.
EXAMPLE: 1 = Yes, Insurance is Primary (Products, Plans or Benefits that only cover Copays, Coinsurance and Deductibles [Gap Coverage] will answer 2 = No)."
ME,ME029,char(3),char,3,Coverage Type,"Type of Coverage Code. Report the code that defines the type of insurance policy by which the enrollee is covered.
EXAMPLE: UND = Plans underwritten by the insurer."
ME,ME030,varchar(4),varchar,4,Market Category Code,"Market Category Code. Report the code that defines the market, by size and or association, to which the policy is directly sold and issued.
EXAMPLE: GS3 = Employers having 10 thru 25 employees."
ME,ME031,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME032,varchar(120),varchar,120,Group Name,Group Name. Report the group name that the policy is attached to. Report IND for individual policies. Do not report any value here if the data is not available.
ME,ME033,int,int,,Member Language Preference,"Member's Verbal Language Preference. Report the code that defines the self-disclosed spoken language preference of the member. The code value 999 (Unknown / Not Specified), should only be used when member answers unknown or refuses to answer. Do not report any value here if the Reporter does not have the data. Report only collected data. "
ME,ME034,varchar(20),varchar,20,Member Language Preference - Other,Member's Other Language Preference. Report the other language the member / subscriber has identified. Do not report any value If no other language identified.
ME,ME035,int,int,,PCMH Assigned Flag,"Patient Centered Medical Home (PCMH) Assigned Indicator. Report the value that indicates if the Member has an approved PCMH for this coverage period.
EXAMPLE: 1 = Yes, Member has an assigned approved patient centered medical home for this coverage period."
ME,ME036,varchar(30),varchar,30,PCMH Number,Patient Centered Medical Home (PCMH) Identification Number. Report the Reporter-assigned PCMH Identification Number. Do not report any data here if not applicable.
ME,ME037,int,int,,PCMH Tax ID Number,"Patient Centered Medical Home (PCMH) EIN / Federal Tax ID Number. Report the EIN / Federal Tax ID of the PCMH. If there is not medical home to report, do not report any value. Do not use hyphen or alpha prefix."
ME,ME038,int,int,,PCMH NPI,"Patient Centered Medical Home (PCMH) National Provider Identifier. Report the National Provider Identifier (NPI) number for the entity or individual serving as the medical home. If there is no medical home to report, do not report any value. "
ME,ME039,varchar(60),varchar,60,PCMH Name,"Patient Centered Medical Home (PCMH) Name. Report the full name of the medical home. If the medical home is an individual, report in the format of Last name, first name and middle initial with no punctuation. If there is not medical home to report, do not report any value."
ME,ME040,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME041,int,int,,Insurance / Product Enrollment Start Date,Insurance / Product Enrollment Start Date. Report the date the Member was enrolled in the product in CCYYMMDD format.
ME,ME042,int,int,,Insurance / Product Enrollment End Date,"Insurance / Product Enrollment End Date. Report the date the member was disenrolled from the product in CCYYMMDD format. If the member was not disenrolled at the end of the current period, then do not fill with any value."
ME,ME043,varchar(60),varchar,60,Member Street Address,Member's Street Address. Report the Member's street address.
ME,ME044,varchar(60),varchar,60,Member Street Address 2,"Member's Street Address 2. Report the Member's street address that may contain office number, suite, or other secondary information besides the street."
ME,ME045,int,int,,Health Insurance Exchange Flag,"Health Insurance Exchange Purchase Indicator. Report the value that defines if the policy for this eligibility was purchased through the Health Insurance Exchange.
EXAMPLE: 1 = Yes, policy for this eligibility was purchased through the Health Insurance Exchange."
ME,ME046,int,int,,Member PCP NPI,Member's PCP National Provider Identifier. Report the National Provider Identifier (NPI) of the Member's PCP. 
ME,ME047,int,int,,Member PCP Effective Date,Member PCP Effective Date. Report the Member enrollment begin date with the PCP in CCYYMMDD format.
ME,ME048,int,int,,Member PCP Termination Date,"Member PCP Termination Date. Report the Member termination date from the PCP in CCYYMMDD format. If the member is still active with their PCP at the end of the current month, then do not fill with any value."
ME,ME049,varchar(10),varchar,10,Member Deductible,"Annual Maximum Member Deductible. Report the maximum amount of Member / Subscriber's annual deductible across all benefit types (Medical, pharmacy, vision, behavioral health, etc.) before certain services are covered. Report only In-Network Deductibles here if plan has an In and Out-of-Network Deductible. Report 0 when there is no deductible applied to all benefits for this eligibility. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050"
ME,ME050,varchar(10),varchar,10,Member Deductible Used,"Member Deductible Amount Incurred. Report the amount to-date the Member / Subscriber has incurred towards the maximum deductible. Report 0 if no deductible has been incurred. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
ME,ME051,int,int,,Behavioral Health Benefit Flag,"Behavioral Health Benefit Indicator. Report the value that defines if the Member has Behavioral Health benefits coverage.
EXAMPLE: 1 = Yes, Behavioral / Mental Health is a covered benefit."
