Source,Source File,Table Name,Column,,Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Lineage,GAP,Findings
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_Start_Date_5,,CARA Status Start Date (5),NUM,MMDDCCYY,,,,,,,Y,3786,3793,8,,,,Live Data Transmission,330,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_End_Date_5,,CARA Status End Date (5),NUM,MMDDCCYY,,,,,,,Y,3794,3801,8,,,,Live Data Transmission,331,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_Start_Date_6,,CARA Status Start Date (6),NUM,MMDDCCYY,,,,,,,Y,3802,3809,8,,,,Live Data Transmission,332,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_End_Date_6,,CARA Status End Date (6),NUM,MMDDCCYY,,,,,,,Y,3810,3817,8,,,,Live Data Transmission,333,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_Start_Date_7,,CARA Status Start Date (7),NUM,MMDDCCYY,,,,,,,Y,3818,3825,8,,,,Live Data Transmission,334,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_End_Date_7,,CARA Status End Date (7),NUM,MMDDCCYY,,,,,,,Y,3826,3833,8,,,,Live Data Transmission,335,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_Start_Date_8,,CARA Status Start Date (8),NUM,MMDDCCYY,,,,,,,Y,3834,3841,8,,,,Live Data Transmission,336,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_End_Date_8,,CARA Status End Date (8),NUM,MMDDCCYY,,,,,,,Y,3842,3849,8,,,,Live Data Transmission,337,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_Start_Date_9,,CARA Status Start Date (9),NUM,MMDDCCYY,,,,,,,Y,3850,3857,8,,,,Live Data Transmission,338,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_End_Date_9,,CARA Status End Date (9),NUM,MMDDCCYY,,,,,,,Y,3858,3865,8,,,,Live Data Transmission,339,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_Start_Date_10,,CARA Status Start Date (10),NUM,MMDDCCYY,,,,,,,Y,3866,3873,8,,,,Live Data Transmission,340,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_End_Date_10,,CARA Status End Date (10),NUM,MMDDCCYY,,,,,,,Y,3874,3881,8,,,,Live Data Transmission,341,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Date_Beneficiary_Last_Used_Dual_Lis_Special_Election_Period_Election_Type_L,,"If beneficiary has not used the DUAL/LIS SEP, then this field is filled with zeroes (00000000).",NUM,,,,,,,,Y,3882,3889,8,,,,Live Data Transmission,342,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
